letdocID	Author	AuthorID	Recipient	RecipientID	letdoc_Date_year	src_city	src_country	src_lng	src_lat	dest_city	dest_country	dst_lng	dst_lat
rousjeVF0120028_1key001cor	Thierry, François	thierfranc003301	Haller, Baron Albrecht von	hallealbre000054	1762	Paris	France	2.34121	48.856925	Roche	Switzerland	6.92959	46.361815
rousjeVF0120034_1key001cor	Rousseau, Jean Jacques	roussjeanj003042	Moultou, Paul Claude	moultpaulc002622	1762	Môtiers-Travers	Switzerland	6.67322	46.93897	Geneva	Switzerland	6.142701	46.208358
rousjeVF0120039_1key001cor	Chappuis, Marc	chappmarc0023632	Rousseau, Jean Jacques	roussjeanj003042	1762	Geneva	Switzerland	6.142701	46.208358	Yverdon-les-Bains	Switzerland	6.64142	46.778634
rousjeVF0120040_1key001cor	Montmorency-Luxembourg, duc de Luxembourg, Charles François Frédéric de	montmcharl022996	Rousseau, Jean Jacques	roussjeanj003042	1762	St-Hubert	Belgium	5.37336	50.025614	Yverdon-les-Bains	Switzerland	6.64142	46.778634
rousjeVF0120050_1key001cor	Bonnet, Charles	bonnecharl000348	Haller, Baron Albrecht von	hallealbre000054	1762	Genthod near Geneva	Switzerland	6.142701	46.208358	Roche	Switzerland	6.92959	46.361815
rousjeVF0120051_1key001cor	Rousseau, Jean Jacques	roussjeanj003042	Boy de La Tour, Julie Anne Marie	boydejulie023669	1762	Môtiers-Travers	Switzerland	6.67322	46.93897	Yverdon-les-Bains	Switzerland	6.64142	46.778634
rousjeVF0120059_1key001cor	Boy de La Tour, Julie Anne Marie	boydejulie023669	Rousseau, Jean Jacques	roussjeanj003042	1762	Yverdon-les-Bains	Switzerland	6.64142	46.778634	Môtiers-Travers	Switzerland	6.67322	46.93897
rousjeVF0120060_1key001cor	Roustan, Antoine Jacques	roustantoi003046	Rousseau, Jean Jacques	roussjeanj003042	1762	Geneva	Switzerland	6.142701	46.208358	Môtiers-Travers	Switzerland	6.67322	46.93897
rousjeVF0120063_1key001cor	Panckoucke, Charles Joseph	panckcharl002742	Rousseau, Jean Jacques	roussjeanj003042	1762	Paris	France	2.34121	48.856925	Yverdon-les-Bains	Switzerland	6.64142	46.778634
rousjeVF0120071_1key001cor	Rousseau, Jean Jacques	roussjeanj003042	Gingins, seigneur de Moiry, Victor de	gingivicto001009	1762	Môtiers-Travers	Switzerland	6.67322	46.93897	Yverdon-les-Bains	Switzerland	6.64142	46.778634
rousjeVF0120081_1key001cor	Voltaire	voltaire00023873	Le Cornier de Cideville, Pierre Robert	lecorpierr002244	1762	Les Délices near Geneva	Switzerland	6.142701	46.208358	Launay	France	0.738665	49.10038
rousjeVF0120082_1key001cor	Rousseau, Jean Jacques	roussjeanj003042	Tissot, Samuel Auguste André David	tissosamue003325	1762	Môtiers-Travers	Switzerland	6.67322	46.93897	Lausanne	Switzerland	6.632335	46.519595
rousjeVF0120096_1key001cor	Rousseau, Jean Jacques	roussjeanj003042	Marcet de Mézières, Isaac Ami	marceisaac004455	1762	Môtiers-Travers	Switzerland	6.67322	46.93897	Coppet	Switzerland	6.193244	46.316239
rousjeVF0120101_1key001cor	Rousseau, Jean Jacques	roussjeanj003042	Luze, Marianne Françoise de	luzemaria0022997	1762	Môtiers-Travers	Switzerland	6.67322	46.93897	Neuchâtel	Switzerland	6.931085	46.990335
rousjeVF0120104_1key001cor	Lenieps, Toussaint Pierre	lenietouss023363	Rousseau, Jean Jacques	roussjeanj003042	1762	Paris	France	2.34121	48.856925	Môtiers-Travers	Switzerland	6.67322	46.93897
